,alpha,epsilon,gamma,total_reward
2,0.03,0.2,0.9700000000000001,129.7
73,0.01,0.5,0.9700000000000001,157.2
59,0.02,0.8,0.91,166.0
11,0.03,0.8,0.9700000000000001,167.8
13,0.04,0.8,0.9700000000000001,170.1
42,0.01,0.8,0.93,175.3
55,0.03,0.2,0.92,182.7
23,0.04,0.5,0.9,183.6
26,0.03,0.5,0.9700000000000001,199.0
17,0.02,0.2,0.91,199.0
36,0.04,0.2,0.9,203.2
18,0.02,0.5,0.9500000000000001,206.1
16,0.02,0.5,0.9,207.1
3,0.01,0.2,0.9400000000000001,209.4
54,0.04,0.5,0.9500000000000001,209.6
25,0.04,0.8,0.9,209.9
50,0.04,0.8,0.9400000000000001,215.1
32,0.01,0.2,0.9700000000000001,217.1
71,0.03,0.2,0.9400000000000001,218.3
45,0.03,0.8,0.9400000000000001,219.1
84,0.01,0.2,0.93,221.9
91,0.04,0.8,0.91,223.7
10,0.02,0.5,0.9400000000000001,224.9
87,0.01,0.2,0.91,225.6
64,0.04,0.5,0.9600000000000001,228.0
82,0.03,0.8,0.9,229.2
6,0.02,0.8,0.93,234.3
66,0.04,0.5,0.93,237.5
89,0.03,0.2,0.93,242.0
14,0.01,0.2,0.9600000000000001,243.2
33,0.01,0.2,0.9500000000000001,243.8
68,0.02,0.2,0.9700000000000001,243.9
19,0.02,0.5,0.92,244.4
39,0.01,0.5,0.9500000000000001,244.8
7,0.02,0.8,0.9500000000000001,246.6
94,0.03,0.2,0.9500000000000001,250.3
38,0.03,0.2,0.9600000000000001,250.7
49,0.01,0.2,0.9,251.3
15,0.01,0.5,0.9,262.2
63,0.02,0.2,0.9,264.8
75,0.02,0.2,0.92,265.0
29,0.04,0.5,0.91,265.6
47,0.01,0.2,0.92,266.4
37,0.02,0.8,0.92,268.5
43,0.04,0.2,0.9400000000000001,271.6
80,0.03,0.8,0.9500000000000001,273.4
83,0.03,0.5,0.9600000000000001,273.5
62,0.04,0.2,0.93,273.7
34,0.04,0.8,0.9600000000000001,274.0
8,0.02,0.8,0.9600000000000001,274.0
0,0.03,0.5,0.93,274.1
85,0.01,0.5,0.9400000000000001,275.7
9,0.04,0.2,0.91,276.1
93,0.01,0.8,0.91,278.4
22,0.04,0.2,0.9500000000000001,283.5
5,0.03,0.2,0.91,291.4
20,0.03,0.8,0.9600000000000001,294.0
72,0.02,0.8,0.9,295.5
52,0.02,0.2,0.9400000000000001,296.5
81,0.01,0.8,0.9700000000000001,297.2
61,0.01,0.5,0.9600000000000001,298.0
95,0.03,0.5,0.9500000000000001,304.7
48,0.04,0.8,0.93,305.1
67,0.01,0.5,0.92,306.9
60,0.03,0.8,0.92,307.8
92,0.03,0.8,0.93,308.3
58,0.04,0.8,0.9500000000000001,308.6
41,0.04,0.5,0.9700000000000001,311.1
4,0.02,0.5,0.91,312.5
46,0.01,0.8,0.92,314.4
12,0.02,0.2,0.9600000000000001,315.5
65,0.04,0.5,0.92,322.9
51,0.02,0.5,0.9600000000000001,327.8
40,0.01,0.8,0.9600000000000001,328.0
70,0.01,0.5,0.93,328.6
28,0.02,0.5,0.9700000000000001,332.6
57,0.01,0.5,0.91,335.4
77,0.02,0.8,0.9700000000000001,335.5
31,0.01,0.8,0.9500000000000001,339.7
24,0.02,0.2,0.93,342.1
88,0.03,0.2,0.9,342.2
56,0.01,0.8,0.9400000000000001,343.0
69,0.03,0.5,0.91,343.4
35,0.04,0.2,0.9700000000000001,351.7
21,0.04,0.2,0.9600000000000001,352.3
1,0.02,0.8,0.9400000000000001,355.1
30,0.04,0.8,0.92,360.3
79,0.03,0.5,0.92,365.1
78,0.02,0.2,0.9500000000000001,377.9
53,0.04,0.2,0.92,382.6
44,0.03,0.5,0.9,395.2
74,0.02,0.5,0.93,420.6
90,0.03,0.8,0.91,448.0
27,0.03,0.5,0.9400000000000001,463.0
86,0.04,0.5,0.9400000000000001,482.9
76,0.01,0.8,0.9,526.5
